time,price,change,volume,amount,type
09:25:03,1085.0,1.0,223,24230220,卖盘
09:30:02,1084.99,-0.01,106,11466455,卖盘
09:30:05,1085.0,0.01,146,15826777,买盘
09:30:08,1084.0,-1.0,290,31463665,卖盘
09:30:11,1081.5,-2.5,51,5525926,卖盘
09:30:14,1080.51,-0.99,97,10500909,卖盘
09:30:17,1080.08,-0.43,18,1946646,卖盘
09:30:21,1080.08,0.0,26,2810196,买盘
09:30:22,1080.03,-0.05,16,1728085,买盘
09:30:26,1081.38,1.35,88,9504905,买盘
09:30:29,1080.1,-1.28,53,5725305,卖盘
09:30:32,1080.0,-0.1,47,5078015,卖盘
09:30:36,1080.01,0.01,28,3023676,买盘
09:30:38,1082.37,2.36,36,3888673,买盘
09:30:42,1079.2,-3.17,25,2699721,卖盘
09:30:43,1079.21,0.01,45,4858977,买盘
09:30:46,1079.2,-0.01,26,2885425,卖盘
09:30:50,1080.0,0.8,16,1727040,买盘
09:30:53,1079.21,-0.79,38,4102396,中性盘
09:30:56,1079.21,0.0,11,1187607,卖盘
09:30:59,1080.02,0.81,11,1187933,买盘
09:31:02,1080.0,-0.02,21,2268062,卖盘
09:31:05,1080.0,0.0,11,1188055,卖盘
09:31:08,1080.05,0.05,19,2052010,买盘
09:31:11,1080.0,-0.05,20,2160021,卖盘
09:31:13,1080.0,0.0,51,5507319,买盘
09:31:16,1079.36,-0.64,6,647909,中性盘
09:31:21,1080.0,0.64,8,863799,买盘
09:31:23,1079.22,-0.78,12,1295107,卖盘
09:31:26,1079.21,-0.01,21,2266346,卖盘
09:31:29,1079.91,0.7,34,3671174,买盘
09:31:32,1079.2,-0.71,26,2806567,卖盘
09:31:35,1079.91,0.71,11,1187928,买盘
09:31:38,1080.0,0.09,32,3455730,买盘
09:31:41,1080.0,0.0,15,1619946,买盘
09:31:44,1080.0,0.0,36,3888293,买盘
09:31:47,1079.91,-0.09,11,1187691,买盘
09:31:49,1080.0,0.09,70,7557758,买盘
09:31:53,1079.2,-0.8,15,1618881,卖盘
09:31:56,1080.0,0.8,6,647603,买盘
09:31:59,1082.98,2.98,4,432358,买盘
09:32:01,1080.0,-2.98,4,432299,卖盘
09:32:04,1082.94,2.94,4,432885,买盘
09:32:07,1079.2,-3.74,103,11123298,卖盘
09:32:12,1078.62,-0.58,80,8629646,卖盘
09:32:15,1080.01,1.39,86,9301914,中性盘
09:32:17,1078.0,-2.01,36,3886445,卖盘
09:32:20,1080.01,2.01,4,432001,买盘
09:32:23,1080.0,-0.01,7,755999,卖盘
09:32:26,1079.19,-0.81,27,2915764,卖盘
09:32:30,1080.0,0.81,5,539863,买盘
09:32:32,1078.15,-1.85,37,3994262,卖盘
09:32:36,1080.0,1.85,3,324000,买盘
09:32:38,1080.0,0.0,11,1187325,卖盘
09:32:41,1080.0,0.0,35,3777449,卖盘
09:32:44,1080.0,0.0,14,1512000,卖盘
09:32:46,1080.0,0.0,17,1833908,买盘
09:32:50,1080.0,0.0,5,540000,买盘
09:32:53,1080.0,0.0,2,215999,买盘
09:32:56,1078.2,-1.8,18,1942969,卖盘
09:32:59,1078.16,-0.04,3,323456,卖盘
09:33:02,1078.17,0.01,6,646902,中性盘
09:33:05,1078.2,0.03,23,2482522,买盘
09:33:08,1079.97,1.77,18,1942787,买盘
09:33:10,1079.0,-0.97,19,2051792,卖盘
09:33:14,1079.0,0.0,14,1511601,卖盘
09:33:17,1080.0,1.0,29,3130102,买盘
09:33:21,1080.0,0.0,11,1187805,中性盘
09:33:23,1080.0,0.0,11,1188003,卖盘
09:33:26,1079.0,-1.0,8,863300,卖盘
09:33:30,1079.98,0.98,9,971594,中性盘
09:33:31,1080.0,0.02,47,5075507,买盘
09:33:35,1080.0,0.0,8,863796,买盘
09:33:37,1080.0,0.0,25,2698315,买盘
09:33:41,1079.0,-1.0,29,3130011,卖盘
09:33:44,1080.0,1.0,21,2266193,买盘
09:33:48,1079.0,-1.0,21,2266502,卖盘
09:33:50,1079.02,0.02,14,1510909,卖盘
09:33:53,1079.1,0.08,13,1402730,买盘
09:33:57,1079.0,-0.1,22,2373850,卖盘
09:33:58,1079.0,0.0,14,1510817,卖盘
09:34:02,1079.98,0.98,5,539613,买盘
09:34:05,1078.8,-1.18,125,13487206,卖盘
09:34:08,1078.51,-0.29,10,1078567,卖盘
09:34:11,1078.6,0.09,20,2157050,中性盘
09:34:15,1078.38,-0.22,21,2264818,卖盘
09:34:17,1078.3,-0.08,17,1833189,卖盘
09:34:21,1078.2,-0.1,30,3234672,卖盘
09:34:23,1078.2,0.0,22,2372047,卖盘
09:34:26,1078.22,0.02,46,4959938,买盘
09:34:29,1078.17,-0.05,11,1186026,卖盘
09:34:32,1078.22,0.05,19,2048650,买盘
09:34:35,1078.2,-0.02,7,754776,卖盘
09:34:37,1078.15,-0.05,17,1832849,卖盘
