time,price,change,volume,amount,type
09:25:03,30.16,-0.01,3329,10040264,卖盘
09:30:03,30.2,0.04,1494,4508745,买盘
09:30:05,30.18,-0.02,257,775903,卖盘
09:30:09,30.2,0.02,148,446830,买盘
09:30:12,30.21,0.01,126,380622,买盘
09:30:15,30.21,0.0,68,205512,卖盘
09:30:17,30.22,0.01,6,18136,卖盘
09:30:20,30.28,0.06,87,263240,买盘
09:30:24,30.28,0.0,42,127063,买盘
09:30:27,30.27,-0.01,323,977400,卖盘
09:30:29,30.29,0.02,323,978161,买盘
09:30:33,30.31,0.02,113,342379,买盘
09:30:35,30.31,0.0,284,861259,卖盘
09:30:39,30.32,0.01,160,484852,中性盘
09:30:42,30.32,0.0,248,751475,卖盘
09:30:45,30.33,0.01,35,106121,买盘
09:30:48,30.32,-0.01,275,833950,中性盘
09:30:51,30.33,0.01,301,912538,买盘
09:30:54,30.29,-0.04,138,418136,卖盘
09:30:57,30.29,0.0,421,1275715,卖盘
09:31:00,30.3,0.01,543,1644805,中性盘
09:31:03,30.29,-0.01,255,772203,中性盘
09:31:06,30.29,0.0,121,366388,买盘
09:31:09,30.25,-0.04,189,572137,卖盘
09:31:12,30.25,0.0,37,111947,卖盘
09:31:15,30.25,0.0,251,759619,卖盘
09:31:18,30.25,0.0,63,190595,卖盘
09:31:21,30.25,0.0,162,490028,买盘
09:31:24,30.25,0.0,158,477909,买盘
09:31:27,30.25,0.0,165,499108,卖盘
09:31:30,30.24,-0.01,15,45370,中性盘
09:31:33,30.25,0.01,165,499153,买盘
09:31:36,30.24,-0.01,55,166240,中性盘
09:31:39,30.22,-0.02,78,235754,卖盘
09:31:42,30.24,0.02,555,1676252,买盘
09:31:45,30.22,-0.02,24,72489,中性盘
09:31:47,30.22,0.0,67,202288,买盘
09:31:51,30.23,0.01,359,1084415,买盘
09:31:53,30.22,-0.01,82,247808,卖盘
09:31:57,30.22,0.0,154,465436,卖盘
09:32:00,30.22,0.0,319,963424,买盘
09:32:03,30.22,0.0,425,1284144,买盘
09:32:05,30.22,0.0,359,1084808,买盘
09:32:09,30.22,0.0,34,102728,买盘
09:32:12,30.2,-0.02,260,785420,卖盘
09:32:14,30.21,0.01,103,311180,买盘
09:32:18,30.2,-0.01,66,199368,卖盘
09:32:20,30.21,0.01,260,785561,买盘
09:32:23,30.2,-0.01,33,99660,卖盘
09:32:27,30.19,-0.01,181,546621,卖盘
09:32:30,30.17,-0.02,1163,3512044,卖盘
09:32:33,30.2,0.03,12,36241,买盘
09:32:36,30.2,0.0,22,66430,买盘
09:32:39,30.2,0.0,16,48320,买盘
09:32:41,30.2,0.0,16,48320,买盘
09:32:45,30.2,0.0,3,9060,买盘
09:32:48,30.18,-0.02,710,2144553,卖盘
