time,price,change,volume,amount,type
09:25:03,32.98,0.0,715,2358070,卖盘
09:30:01,32.9,-0.08,151,497703,卖盘
09:30:04,32.95,0.05,361,1189460,买盘
09:30:06,32.88,-0.07,46,151556,卖盘
09:30:10,32.97,0.09,103,341749,买盘
09:30:13,32.97,0.0,62,204448,卖盘
09:30:16,32.98,0.01,342,1127799,买盘
09:30:19,32.98,0.0,44,145097,买盘
09:30:22,32.97,-0.01,63,207765,卖盘
09:30:25,32.99,0.02,167,551462,买盘
09:30:28,33.01,0.02,223,735909,买盘
09:30:31,33.04,0.03,26,85851,买盘
09:30:34,33.05,0.01,33,109003,买盘
09:30:36,33.06,0.01,96,317487,买盘
09:30:40,33.09,0.03,88,290958,买盘
09:30:43,33.09,0.0,45,148887,买盘
09:30:45,33.06,-0.03,130,429937,卖盘
09:30:49,33.05,-0.01,98,324220,卖盘
09:30:52,33.09,0.04,82,271288,买盘
09:30:55,33.09,0.0,75,248178,卖盘
09:30:58,33.09,0.0,89,294504,卖盘
09:31:01,33.1,0.01,289,956574,买盘
09:31:04,33.11,0.01,165,546156,买盘
09:31:07,33.11,0.0,110,364106,买盘
09:31:10,33.1,-0.01,111,367635,卖盘
09:31:13,33.1,0.0,280,926812,卖盘
09:31:16,33.09,-0.01,85,281268,卖盘
09:31:19,33.09,0.0,196,648544,买盘
09:31:21,33.1,0.01,203,671793,买盘
09:31:25,33.11,0.01,49,162187,买盘
09:31:28,33.08,-0.03,837,2769166,卖盘
09:31:31,33.12,0.04,611,2022066,买盘
09:31:34,33.09,-0.03,470,1554875,卖盘
09:31:37,33.08,-0.01,74,244776,卖盘
09:31:40,33.02,-0.06,68,224625,卖盘
09:31:44,33.04,0.02,195,644786,中性盘
09:31:46,33.02,-0.02,20,66052,卖盘
09:31:50,33.02,0.0,177,584505,卖盘
09:31:52,33.02,0.0,24,79287,卖盘
09:31:55,33.02,0.0,33,108968,卖盘
09:31:58,33.03,0.01,24,79524,买盘
09:32:01,33.07,0.04,524,1731277,买盘
09:32:04,33.07,0.0,369,1220417,卖盘
09:32:06,33.07,0.0,348,1151031,卖盘
09:32:10,33.07,0.0,295,975606,卖盘
09:32:13,33.08,0.01,110,363783,买盘
09:32:16,33.05,-0.03,413,1365133,卖盘
09:32:19,33.08,0.03,514,1699984,买盘
09:32:22,33.05,-0.03,40,132204,卖盘
09:32:25,33.07,0.02,47,155429,买盘
09:32:28,33.07,0.0,25,82637,买盘
09:32:31,33.07,0.0,7,23148,买盘
09:32:34,33.07,0.0,6,19842,买盘
09:32:37,33.06,-0.01,38,125645,卖盘
09:32:40,33.07,0.01,306,1011527,买盘
09:32:43,33.07,0.0,31,102511,买盘
09:32:46,33.07,0.0,80,264527,买盘
09:32:49,33.07,0.0,50,165338,买盘
09:32:52,33.06,-0.01,34,112435,卖盘
09:32:55,33.05,-0.01,386,1276172,卖盘
09:32:58,33.07,0.02,49,162043,买盘
09:33:01,33.07,0.0,595,1967658,买盘
09:33:04,33.08,0.01,250,827003,买盘
09:33:06,33.1,0.02,229,757870,买盘
09:33:10,33.07,-0.03,698,2309146,卖盘
09:33:12,33.08,0.01,28,92606,买盘
09:33:16,33.07,-0.01,96,317562,卖盘
09:33:18,33.06,-0.01,657,2172358,卖盘
09:33:22,33.08,0.02,176,582208,买盘
09:33:25,33.06,-0.02,283,935777,卖盘
09:33:28,33.06,0.0,98,323710,买盘
09:33:30,33.06,0.0,21,69426,买盘
09:33:35,33.04,-0.02,44,145389,卖盘
09:33:37,33.02,-0.02,101,333586,卖盘
09:33:40,33.03,0.01,3,9908,买盘
09:33:43,33.0,-0.03,92,303668,卖盘
09:33:46,32.98,-0.02,583,1923801,卖盘
09:33:50,32.98,0.0,31,102238,买盘
09:33:52,33.0,0.02,52,171457,买盘
09:33:55,32.97,-0.03,5,16486,中性盘
09:33:58,33.0,0.03,36,118776,买盘
09:34:01,33.0,0.0,650,2144981,买盘
09:34:05,33.0,0.0,129,425771,卖盘
09:34:06,33.01,0.01,42,138637,买盘
09:34:10,33.0,-0.01,34,112220,卖盘
09:34:12,33.03,0.03,58,191572,买盘
09:34:16,33.04,0.01,113,373245,买盘
09:34:18,33.01,-0.03,183,604653,卖盘
09:34:22,33.04,0.03,74,244471,中性盘
09:34:25,33.0,-0.04,731,2412789,卖盘
09:34:28,33.0,0.0,106,349793,买盘
09:34:31,33.0,0.0,17,56100,买盘
09:34:35,33.0,0.0,66,217800,买盘
09:34:37,33.0,0.0,111,366300,买盘
09:34:40,33.0,0.0,438,1445664,买盘
09:34:43,33.05,0.05,215,710009,买盘
