time,price,change,volume,amount,type
09:25:00,32.2,0.68,13167,42398545,卖盘
09:30:00,32.27,0.07,148,476985,买盘
09:30:03,32.26,-0.01,5257,16958951,卖盘
09:30:07,32.28,0.02,3010,9717928,买盘
09:30:10,32.29,0.01,1324,4274145,买盘
09:30:12,32.32,0.03,190,613696,中性盘
09:30:13,32.35,0.03,307,992308,买盘
09:30:19,32.33,-0.02,588,1900900,中性盘
09:30:22,32.33,0.0,539,1741007,买盘
09:30:24,32.37,0.04,1266,4096206,买盘
09:30:27,32.3,-0.07,522,1685219,卖盘
09:30:30,32.29,-0.01,322,1039914,中性盘
09:30:33,32.3,0.01,2067,6676306,买盘
09:30:36,32.34,0.04,245,791969,中性盘
09:30:40,32.26,-0.08,547,1765945,卖盘
09:30:42,32.25,-0.01,453,1461659,卖盘
09:30:45,32.33,0.08,424,1368617,买盘
09:30:48,32.28,-0.05,192,620240,中性盘
09:30:51,32.26,-0.02,148,477431,卖盘
09:30:52,32.27,0.01,788,2544473,买盘
09:30:57,32.26,-0.01,130,419595,卖盘
09:31:00,32.3,0.04,272,877759,买盘
09:31:03,32.26,-0.04,813,2625060,买盘
09:31:07,32.25,-0.01,600,1935525,卖盘
09:31:09,32.26,0.01,238,767900,中性盘
09:31:13,32.24,-0.02,369,1190024,卖盘
09:31:15,32.23,-0.01,676,2179280,卖盘
09:31:19,32.25,0.02,1119,3607259,买盘
09:31:22,32.24,-0.01,427,1376538,买盘
09:31:24,32.24,0.0,920,2966494,买盘
09:31:27,32.23,-0.01,777,2505090,卖盘
09:31:30,32.23,0.0,584,1882821,卖盘
09:31:33,32.24,0.01,385,1240771,买盘
09:31:37,32.22,-0.02,839,2703070,卖盘
09:31:39,32.21,-0.01,445,1433524,卖盘
09:31:42,32.22,0.01,1303,4197141,买盘
09:31:45,32.21,-0.01,2228,7176887,卖盘
09:31:47,32.21,0.0,1546,4979471,卖盘
09:31:51,32.22,0.01,3123,10056365,买盘
09:31:52,32.22,0.0,1509,4862023,卖盘
09:31:57,32.22,0.0,917,2951704,卖盘
09:32:00,32.18,-0.04,1424,4587152,卖盘
09:32:03,32.19,0.01,785,2527334,中性盘
09:32:07,32.18,-0.01,539,1735351,卖盘
09:32:09,32.19,0.01,235,756190,中性盘
09:32:12,32.19,0.0,953,3069121,买盘
09:32:15,32.15,-0.04,822,2642979,卖盘
09:32:18,32.11,-0.04,255,819528,卖盘
09:32:22,32.14,0.03,28,89953,买盘
09:32:25,32.14,0.0,787,2526054,买盘
09:32:27,32.06,-0.08,350,1124625,卖盘
09:32:30,32.1,0.04,58,186162,买盘
09:32:33,32.1,0.0,250,802094,买盘
09:32:36,32.05,-0.05,301,965366,卖盘
09:32:39,32.05,0.0,1360,4362341,卖盘
09:32:42,32.13,0.08,867,2781848,买盘
09:32:45,32.11,-0.02,442,1420108,卖盘
09:32:48,32.08,-0.03,209,670745,卖盘
09:32:52,32.14,0.06,214,687253,买盘
09:32:54,32.11,-0.03,266,853919,中性盘
09:32:58,32.09,-0.02,297,953285,卖盘
09:33:00,32.09,0.0,134,430048,卖盘
09:33:03,32.09,0.0,432,1386608,卖盘
09:33:06,32.07,-0.02,402,1289934,卖盘
09:33:09,32.0,-0.07,2207,7068565,卖盘
09:33:12,32.0,0.0,3698,11833744,买盘
09:33:15,32.05,0.05,223,715581,卖盘
09:33:18,32.09,0.04,246,789464,买盘
09:33:21,32.1,0.01,334,1072171,买盘
09:33:24,32.11,0.01,282,905440,买盘
09:33:27,32.13,0.02,485,1556893,买盘
09:33:30,32.05,-0.08,181,581182,卖盘
09:33:33,32.13,0.08,490,1573770,买盘
09:33:37,32.14,0.01,280,899750,买盘
09:33:39,32.12,-0.02,169,542839,买盘
09:33:42,32.14,0.02,198,635999,买盘
09:33:46,32.12,-0.02,250,802825,卖盘
