time,price,change,volume,amount,type
09:25:01,53.34,-0.4,1646,8779764,卖盘
09:30:00,53.34,0.0,393,2096408,卖盘
09:30:04,53.33,-0.01,1960,10453747,卖盘
09:30:07,53.34,0.01,1098,5856498,买盘
09:30:10,53.34,0.0,481,2567302,买盘
09:30:12,53.33,-0.01,349,1861184,中性盘
09:30:16,53.33,0.0,211,1124764,买盘
09:30:18,53.29,-0.04,125,664029,卖盘
09:30:22,53.29,0.0,122,649949,买盘
09:30:25,53.3,0.01,92,490208,买盘
09:30:28,53.29,-0.01,27,143830,中性盘
09:30:30,53.29,0.0,71,378327,卖盘
09:30:33,53.26,-0.03,45,239702,卖盘
09:30:36,53.25,-0.01,71,378089,卖盘
09:30:39,53.28,0.03,282,1502225,买盘
09:30:42,53.28,0.0,86,458042,买盘
09:30:46,53.25,-0.03,76,404781,卖盘
09:30:48,53.27,0.02,60,319572,买盘
09:30:51,53.27,0.0,75,399429,卖盘
09:30:54,53.27,0.0,49,260996,买盘
09:30:58,53.25,-0.02,147,782988,卖盘
09:31:00,53.27,0.02,127,676339,买盘
09:31:04,53.27,0.0,174,926873,卖盘
09:31:06,53.3,0.03,604,3218100,买盘
09:31:09,53.26,-0.04,274,1459565,卖盘
09:31:12,53.27,0.01,87,463417,买盘
09:31:15,53.25,-0.02,200,1065336,卖盘
09:31:18,53.25,0.0,373,1986225,买盘
09:31:21,53.25,0.0,75,399362,买盘
09:31:25,53.26,0.01,151,804130,买盘
09:31:27,53.27,0.01,121,644483,买盘
09:31:30,53.27,0.0,108,575176,中性盘
09:31:34,53.27,0.0,58,309043,卖盘
09:31:36,53.26,-0.01,89,474134,卖盘
09:31:39,53.27,0.01,99,527393,买盘
09:31:42,53.29,0.02,440,2343358,买盘
09:31:46,53.28,-0.01,70,372952,中性盘
09:31:48,53.29,0.01,33,175851,买盘
09:31:52,53.28,-0.01,154,820612,卖盘
09:31:55,53.29,0.01,168,895262,买盘
09:31:57,53.29,0.0,54,287797,卖盘
09:32:00,53.3,0.01,291,1554681,买盘
09:32:04,53.3,0.0,142,753773,买盘
09:32:07,53.3,0.0,50,266898,卖盘
09:32:10,53.34,0.04,330,1762825,买盘
09:32:12,53.34,0.0,120,640115,卖盘
09:32:16,53.34,0.0,386,2058933,卖盘
09:32:18,53.38,0.04,43,229420,买盘
09:32:22,53.38,0.0,15,80067,卖盘
09:32:24,53.38,0.0,36,192208,卖盘
09:32:27,53.34,-0.04,674,3593227,卖盘
09:32:31,53.4,0.06,57,306831,买盘
09:32:34,53.38,-0.02,67,357719,卖盘
09:32:37,53.4,0.02,29,154858,买盘
09:32:40,53.4,0.0,55,293705,买盘
09:32:43,53.4,0.0,47,251022,卖盘
09:32:46,53.46,0.06,23,122913,买盘
09:32:49,53.41,-0.05,9,48078,中性盘
09:32:51,53.41,0.0,54,288399,买盘
09:32:54,53.41,0.0,93,496691,买盘
09:32:58,53.41,0.0,235,1254942,买盘
09:33:01,53.41,0.0,82,437927,买盘
09:33:04,53.41,0.0,151,806399,买盘
09:33:07,53.4,-0.01,154,822413,卖盘
09:33:10,53.46,0.06,250,1336358,买盘
09:33:12,53.46,0.0,1,5346,卖盘
09:33:16,53.47,0.01,15,80203,买盘
09:33:18,53.47,0.0,169,903535,买盘
09:33:22,53.47,0.0,238,1272379,买盘
09:33:24,53.47,0.0,4,21391,卖盘
09:33:28,53.5,0.03,670,3583498,买盘
09:33:30,53.48,-0.02,39,208560,中性盘
09:33:34,53.5,0.02,41,219320,买盘
09:33:36,53.5,0.0,89,476087,卖盘
09:33:39,53.53,0.03,52,278352,买盘
09:33:42,53.53,0.0,33,176670,卖盘
09:33:46,53.54,0.01,90,481842,买盘
09:33:49,53.54,0.0,130,695956,买盘
09:33:52,53.54,0.0,45,240908,买盘
09:33:54,53.52,-0.02,248,1327521,卖盘
09:33:58,53.6,0.08,231,1236017,买盘
09:34:00,53.6,0.0,15,80400,卖盘
09:34:04,53.5,-0.1,320,1714090,卖盘
09:34:07,53.5,0.0,34,181899,买盘
09:34:10,53.5,0.0,131,700760,买盘
09:34:13,53.5,0.0,159,850465,买盘
09:34:15,53.5,0.0,509,2720952,买盘
09:34:19,53.39,-0.11,164,877075,卖盘
09:34:22,53.47,0.08,123,657681,买盘
09:34:25,53.48,0.01,97,518839,买盘
09:34:27,53.45,-0.03,65,347429,卖盘
09:34:31,53.44,-0.01,32,171031,中性盘
09:34:34,53.45,0.01,39,208349,买盘
09:34:37,53.45,0.0,86,459573,买盘
09:34:40,53.45,0.0,58,310010,买盘
09:34:42,53.45,0.0,237,1266692,买盘
09:34:46,53.44,-0.01,64,342067,卖盘
09:34:48,53.44,0.0,37,197724,买盘
09:34:51,53.44,0.0,39,208407,买盘
09:34:54,53.44,0.0,68,363383,买盘
09:34:58,53.44,0.0,70,374089,卖盘
09:35:01,53.5,0.06,652,3485896,买盘
09:35:05,53.5,0.0,575,3071844,卖盘
09:35:07,53.5,0.0,4,21400,卖盘
09:35:09,53.5,0.0,20,107000,买盘
09:35:12,53.5,0.0,19,101627,买盘
09:35:15,53.5,0.0,34,181900,买盘
09:35:18,53.51,0.01,40,214046,买盘
09:35:21,53.5,-0.01,6,32103,卖盘
09:35:24,53.56,0.06,21,112383,买盘
09:35:27,53.5,-0.06,19,101661,卖盘
09:35:31,53.56,0.06,22,117787,买盘
09:35:34,53.51,-0.05,342,1831686,卖盘
09:35:36,53.56,0.05,424,2268038,中性盘
09:35:40,53.58,0.02,76,407068,买盘
09:35:43,53.53,-0.05,20,107136,卖盘
09:35:46,53.59,0.06,3,16072,买盘
09:35:48,53.57,-0.02,32,171351,卖盘
09:35:52,53.57,0.0,20,107145,买盘
09:35:55,53.57,0.0,53,283888,买盘
09:35:58,53.57,0.0,12,64281,卖盘
09:36:00,53.58,0.01,41,219647,买盘
09:36:05,53.57,-0.01,96,514320,卖盘
09:36:07,53.56,-0.01,135,723155,中性盘
09:36:10,53.56,0.0,48,257086,买盘
09:36:12,53.55,-0.01,131,701325,卖盘
09:36:15,53.55,0.0,27,144550,买盘
09:36:19,53.53,-0.02,31,165946,中性盘
09:36:22,53.52,-0.01,88,470904,卖盘
09:36:24,53.49,-0.03,117,625957,卖盘
09:36:28,53.52,0.03,118,630771,买盘
09:36:31,53.52,0.0,13,69577,买盘
09:36:34,53.52,0.0,14,74864,中性盘
09:36:36,53.5,-0.02,21,112394,卖盘
09:36:40,53.49,-0.01,11,58844,卖盘
09:36:43,53.43,-0.06,47,251294,卖盘
09:36:46,53.46,0.03,44,235239,中性盘
09:36:49,53.49,0.03,31,165786,买盘
09:36:51,53.49,0.0,17,90945,买盘
09:36:55,53.48,-0.01,30,160488,卖盘
09:36:58,53.49,0.01,83,443932,买盘
09:37:00,53.44,-0.05,28,149679,卖盘
09:37:04,53.48,0.04,83,443953,卖盘
09:37:07,53.49,0.01,31,165778,买盘
09:37:10,53.47,-0.02,27,144397,卖盘
09:37:12,53.47,0.0,61,326186,卖盘
09:37:16,53.48,0.01,114,609620,买盘
09:37:18,53.47,-0.01,2,10694,中性盘
09:37:22,53.48,0.01,57,304822,买盘
09:37:24,53.47,-0.01,54,288767,卖盘
09:37:27,53.48,0.01,40,213884,买盘
09:37:30,53.48,0.0,74,395674,买盘
09:37:33,53.48,0.0,31,165794,卖盘
09:37:36,53.48,0.0,8,42790,卖盘
09:37:39,53.48,0.0,33,176494,卖盘
09:37:42,53.49,0.01,22,117674,买盘
09:37:45,53.49,0.0,132,706103,中性盘
09:37:49,53.49,0.0,46,246094,卖盘
09:37:52,53.5,0.01,38,203282,买盘
09:37:55,53.49,-0.01,48,256784,卖盘
09:37:58,53.5,0.01,125,668668,买盘
09:38:01,53.5,0.0,72,385203,买盘
09:38:04,53.5,0.0,61,326397,卖盘
09:38:07,53.52,0.02,97,519047,买盘
09:38:10,53.52,0.0,60,321101,买盘
09:38:12,53.51,-0.01,28,149836,卖盘
09:38:16,53.55,0.04,36,192745,买盘
09:38:18,53.51,-0.04,115,615439,卖盘
09:38:21,53.51,0.0,66,353292,买盘
09:38:24,53.51,0.0,12,64220,中性盘
09:38:28,53.51,0.0,9,48163,卖盘
09:38:30,53.5,-0.01,515,2755674,卖盘
09:38:33,53.55,0.05,17,91024,买盘
09:38:36,53.54,-0.01,77,412313,卖盘
09:38:39,53.53,-0.01,51,273063,卖盘
09:38:43,53.53,0.0,31,165936,买盘
09:38:46,53.53,0.0,44,235532,买盘
09:38:49,53.53,0.0,47,251580,买盘
09:38:52,53.51,-0.02,153,818809,卖盘
09:38:55,53.51,0.0,51,272918,买盘
09:38:58,53.5,-0.01,272,1455282,卖盘
09:39:00,53.5,0.0,112,599157,买盘
09:39:05,53.5,0.0,83,444027,买盘
09:39:07,53.49,-0.01,44,235392,卖盘
09:39:10,53.49,0.0,320,1711677,卖盘
09:39:12,53.48,-0.01,29,155105,卖盘
09:39:15,53.49,0.01,513,2743506,买盘
09:39:18,53.49,0.0,168,898317,买盘
09:39:21,53.45,-0.04,230,1229309,卖盘
09:39:24,53.44,-0.01,294,1572384,中性盘
09:39:28,53.44,0.0,456,2436473,买盘
09:39:30,53.44,0.0,84,448757,中性盘
09:39:34,53.5,0.06,157,839608,买盘
09:39:36,53.42,-0.08,98,523435,中性盘
09:39:40,53.44,0.02,23,122896,买盘
09:39:43,53.42,-0.02,328,1752220,卖盘
09:39:46,53.5,0.08,119,636262,买盘
09:39:52,53.44,-0.06,63,336672,卖盘
09:39:54,53.5,0.06,97,518535,买盘
09:39:58,53.44,-0.06,71,379665,卖盘
09:40:00,53.44,0.0,9,48102,卖盘
